tier,seed,disaster_family,role,metric,baseline,trained,delta,rationale_mode,schema_version
easy,1024,fire,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,fire,floor_agent,raw_reward,1.7400000000000262,nan,nan,linear_capped,2026.04.24
easy,1024,fire,floor_agent,save_rate,1.0,nan,nan,linear_capped,2026.04.24
easy,1024,fire,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,fire,orchestrator,normalized_reward,-0.7035415377828662,nan,nan,linear_capped,2026.04.24
easy,1024,fire,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,fire,orchestrator,raw_reward,-87.6000000000001,nan,nan,linear_capped,2026.04.24
easy,1024,fire,orchestrator,save_rate,1.0,nan,nan,linear_capped,2026.04.24
easy,1024,flood,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,flood,floor_agent,normalized_reward,1.1491574399333904,nan,nan,linear_capped,2026.04.24
easy,1024,flood,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,flood,floor_agent,raw_reward,-4.12,nan,nan,linear_capped,2026.04.24
easy,1024,flood,floor_agent,save_rate,0.07246376811594203,nan,nan,linear_capped,2026.04.24
easy,1024,flood,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,flood,orchestrator,normalized_reward,1.417471108468654,nan,nan,linear_capped,2026.04.24
easy,1024,flood,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,flood,orchestrator,raw_reward,-25.599999999999998,nan,nan,linear_capped,2026.04.24
easy,1024,flood,orchestrator,save_rate,0.07246376811594203,nan,nan,linear_capped,2026.04.24
easy,1024,gas,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,gas,floor_agent,normalized_reward,-3.9255833845361203,nan,nan,linear_capped,2026.04.24
easy,1024,gas,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,gas,floor_agent,raw_reward,-15.159999999999997,nan,nan,linear_capped,2026.04.24
easy,1024,gas,floor_agent,save_rate,0.15942028985507245,nan,nan,linear_capped,2026.04.24
easy,1024,gas,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,gas,orchestrator,normalized_reward,-5.511452516986305,nan,nan,linear_capped,2026.04.24
easy,1024,gas,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,gas,orchestrator,raw_reward,-73.19999999999999,nan,nan,linear_capped,2026.04.24
easy,1024,gas,orchestrator,save_rate,0.15942028985507245,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,floor_agent,normalized_reward,21.320445088958834,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,floor_agent,raw_reward,-39.21999999999997,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,floor_agent,save_rate,1.4782608695652173,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,orchestrator,normalized_reward,22.793768408565388,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,1024,multi_cascade,orchestrator,raw_reward,-305.60000000000036,nan,nan,linear_capped,2026.04.24
